,,,
A change log showing journals withdrawn from DOAJ from 19th March 2014 to 31st January 2024,,,
,,,
A new change log is available. This spreadsheet is no longer updated.,,,
,,,
,,,
Journal Title,ISSN,Date Removed (dd/mm/yyyy),Reason
Unnes Journal of Research Mathematics Education,2252-6455,17-Feb-2021,Journal does not satisfy basic criteria
"Solidarity: Journal of Education, Society and Culture",2252-7133,17-Feb-2021,Journal does not satisfy basic criteria
Journal of Sport Sciences and Fitness,2252-6528,17-Feb-2021,Journal does not satisfy basic criteria
Jurnal Pendidikan Bahasa dan Sastra Indonesia: Lingua Litteria Journal,2252-6722,17-Feb-2021,Journal does not satisfy basic criteria
Joyful Learning Journal,2252-6366,17-Feb-2021,Journal does not satisfy basic criteria
Journal of Indonesian History ,2252-6633,17-Feb-2021,Journal does not satisfy basic criteria
Indonesian Journal of Guidance and Counseling ,2252-6374,17-Feb-2021,Journal does not satisfy basic criteria
IJCS: Indonesia Journal of Chemical Science ,2252-6951,17-Feb-2021,Journal does not satisfy basic criteria
Geo-Image Journal ,2252-6285,17-Feb-2021,Journal does not satisfy basic criteria
Economic Education Analysis Journal ,2252-6544,17-Feb-2021,Journal does not satisfy basic criteria
Journal of Edugeography,2252-6684,17-Feb-2021,Journal does not satisfy basic criteria
Edu Elektrika Journal,2252-7095,17-Feb-2021,Journal does not satisfy basic criteria
Chemistry in Education: Chem. In Ed.,2252-6609,17-Feb-2021,Journal does not satisfy basic criteria
Beder University Journal of Educational Sciences,2306-0557,16-Feb-2021,Ceased publishing
Cumhuriyet Üniversitesi Fen Fakültesi Fen Bilimleri Dergisi,1300-1949,15-Feb-2021,Web site URL no longer works
Practice and Theory in Systems of Education,1788-2591,15-Feb-2021,Ceased publishing
Revista Direito e Liberdade,1809-3280,15-Feb-2021,Ceased publishing
IJoLE: International Journal of Language Education,2548-8465,15-Feb-2021,Journal not adhering to best practice
Psiencia: Revista Latinoamericana de Ciencia Psicológica,2250-5504,12-Feb-2021,Web site URL no longer works
Apuntes de Investigación del CECYP,0329-2142,12-Feb-2021,Inactive (has not published in the last calendar year)
Українська біографістика,2520-2855,11-Feb-2021,Journal not adhering to best practice
Nordicum-Mediterraneum,1670-6242,11-Feb-2021,Has not published enough articles in the last calendar year
Annales Academiae Scientiarum Fennicae: Mathematica,1798-2383,11-Feb-2021,Changed publisher but hasn't supplied new URLs/site
Revista Brasileira de Educação em Geografia,2236-3904,10-Feb-2021,Web site URL no longer works
Mefanet Journal,1805-9171,5-Feb-2021,Inactive (has not published in the last calendar year)
Epidemiology Biostatistics and Public Health,2282-0930,4-Feb-2021,Web site URL no longer works
Diálogo das Letras,2316-1795,4-Feb-2021,Inactive (has not published in the last calendar year)
Proceedings of Indian National Science Academy,2454-9983,2-Feb-2021,Journal is no longer Open Access
Семейная медицина,2307-5112,2-Feb-2021,Journal not adhering to best practice
Здоровье мужчины,2307-5090,2-Feb-2021,Journal not adhering to best practice
Australasian Medical Journal,1836-1935,2-Feb-2021,Journal not adhering to best practice
Dialogue Méditerranéen,2571-9742,2-Feb-2021,Web site URL no longer works
International Journal of Food and Allied Sciences,2413-2543,1-Feb-2021,Inactive (has not published in the last calendar year)
Al-Jabar: Jurnal Pendidikan Matematika,2540-7562,28-Jan-2021,Journal not adhering to best practice
Gorm,1300-4751,28-Jan-2021,Journal not adhering to best practice
Eskişehir Türk Dünyası Uygulama ve Araştırma Merkezi Halk Sağlığı Dergisi,2564-6311,28-Jan-2021,Journal not adhering to best practice
Cogent Chemistry,2331-2009,27-Jan-2021,Ceased publishing
Valahian Journal of Economic Studies,2067-9440,26-Jan-2021,Ceased publishing
Vocational Training: Research and Realities,2029-8447,26-Jan-2021,Ceased publishing
NUANSA,2442-8078,25-Jan-2021,Journal not adhering to best practice
Hygiea Internationalis: an Interdisciplinary Journal for the History of Public Health,1404-4013,25-Jan-2021,Ceased publishing
Social Work and Society,1613-8953,25-Jan-2021,Web site URL no longer works
Indian Journal of Medical Microbiology,1996-3646,25-Jan-2021,No longer OA
Entre caníbales,2520-078X,20-Jan-2021,No longer OA / Inactive (has not published in the last calendar year)
Python Papers,1834-3147,20-Jan-2021,Web site URL no longer works
Studium,2248-2164,20-Jan-2021,Website URLs have security issues
Journal of Management Economics Literature Islamic and Political Sciences: JOMELIPS,2547-9512,19-Jan-2021,Journal not adhering to best practice
Zhongxiyi Jiehe Huli (Zhong-Yingwen Ban),2096-0867,18-Jan-2021,Web site URL no longer works
Anglistica AION,2035-8504,16-Jan-2021,Inactive (has not published in the last calendar year)
Sir Syed Journal of Education & Social Research,2706-6525,15-Jan-2021,Journal not adhering to best practice
Journal La Sociale,2721-0847,13-Jan-2021,Journal not adhering to best practice
Strategies in Trauma and Limb Reconstruction,1828-8928,13-Jan-2021,Journal not adhering to best practice
Future Human Image,2311-8822,7-Jan-2021,Journal not adhering to best practice
Prácticas de oficio,1851-6076,7-Jan-2021,Web site URL no longer works
Buletin Kebun Raya Indonesia,0125-961X,7-Jan-2021,Ceased publishing
Bioscience Horizons,1754-7431,4-Jan-2021,Ceased publishing
Journal of Integrable Systems,2058-5985,4-Jan-2021,Ceased publishing
BioResearch Open Access,2164-7860,4-Jan-2021,Ceased publishing
Perspektif,2406-7385,24-Dec-2020,Journal not adhering to best practice
Integrative Journal of Medical Sciences (old title: International Journal of Medicine and Surgery),2658-8218 (old ISSN: 2336-0313),23-Dec-2020,Journal not adhering to Best practice
Transversal: Journal for Jewish Studies,2391-7385,18-Dec-2020,Ceased publishing
Jurnal Nusantara Aplikasi Manajemen Bisnis,2528-0929,16-Dec-2020,Journal not adhering to best practice
Virus Adaptation and Treatment,1179-1624,14-Dec-2020,Ceased publishing
Vaccine : Development and Therapy,2230-2298,14-Dec-2020,Ceased publishing
Research and Reports in Endocrine Disorders,2230-2271,14-Dec-2020,Ceased publishing
Research and Reports in Biology,1179-7274,14-Dec-2020,Ceased publishing
Research and Reports in Biochemistry,2230-3154,14-Dec-2020,Ceased publishing
Patient Intelligence,1179-3198,14-Dec-2020,Ceased publishing
Orphan Drugs: Research and Reviews,2230-6161,14-Dec-2020,Ceased publishing
Neuroscience and Neuroeconomics,2230-3561,14-Dec-2020,Ceased publishing
Journal of Vascular Diagnostics and Interventions,2463-5618,14-Dec-2020,Ceased publishing
Gastrointestinal Cancer : Targets and Therapy,1179-9919,14-Dec-2020,Ceased publishing
Comparative Effectiveness Research,1179-8483,14-Dec-2020,Ceased publishing
Clinical Oncology in Adolescents and Young Adults,2230-2263,14-Dec-2020,Ceased publishing
ChronoPhysiology and Therapy,2230-2026,14-Dec-2020,Ceased publishing
Cell Health and Cytoskeleton,1179-1330,14-Dec-2020,Ceased publishing
Botanics : Targets and Therapy,1179-9897,14-Dec-2020,Ceased publishing
Ambulatory Anesthesia,2324-5891,14-Dec-2020,Ceased publishing
Advances in Genomics and Genetics,1179-9870,14-Dec-2020,Ceased publishing
Karsa: The journal of Social and Islamic Culture,2442-4285,9-Dec-2020,Journal not adhering to best practice
Studier i Pædagogisk Filosofi,2244-9140,4-Dec-2020,Journal not adhering to best practice
Teología y Vida,0717-6295,23-Nov-2020,Journal not adhering to best practice
"Journal of Education, Humaniora and Social Sciences (JEHSS)",2622-3740,23-Nov-2020,Journal not adhering to best practice
Academic Journal of Economic Studies,2393-4913,20-Nov-2020,Web site URL no longer works
Choregia,1791-4027,20-Nov-2020,Web site URL no longer works
CRIS: Bulletin of the Centre for Research and Interdisciplinary Study,1805-5117,20-Nov-2020,Ceased publishing
Jurnal Inspirasi Bisnis dan Manajemen,2579-9401,20-Nov-2020,Journal not adhering to Best practice
Health Professional Student Journal,2368-8645,19-Nov-2020,Website URLs have security issues
Memoria Europae,2469-0902,19-Nov-2020,Website URLs have security issues
Силовое и энергетическое оборудование: Автономные системы,2618-8716,19-Nov-2020,Website URLs have security issues
"Escenarios, Empresa y Territorio",2322-6331,19-Nov-2020,Website URLs have security issues
Ecoforum,1584-9066,18-Nov-2020,Journal not adhering to Best practice
Journal of Forensic Research and Crime Studies,2374-7900,18-Nov-2020,Journal not adhering to Best practice
Journal of Women's Health and Gynecology,2379-6715,18-Nov-2020,Journal not adhering to Best practice
Elkawnie: Journal of Islamic Science and Technology,2460-8920,17-Nov-2020,Journal not adhering to Best practice
Studium: Tijdschrift voor Wetenschaps- en Universiteitsgeschiedenis,1876-9055,17-Nov-2020,Website URLs have security issues
Ožirenie i Metabolizm,2071-8713,10-Nov-2020,Web site URL no longer works
Mediterranean Journal of Chemistry,2028-3997,10-Nov-2020,Journal not adhering to Best practice
Journal of Microbiology and Infectious Diseases,2146-3158,4-Nov-2020,Journal not adhering to Best practice
Open Construction and Building Technology Journal,1874-8368,30-Oct-2020,Journal not adhering to Best practice
Revista Brasileira de Educação e Saúde,2358-2391,28-Oct-2020,Website URLs have security issues
Inge@UAN,2145-0935,27-Oct-2020,Ceased publishing
Sociologia em Rede,2359-3717,26-Oct-2020,Web site URL no longer works
Data Curation Profiles Directory,2326-6651,23-Oct-2020,Ceased publishing
The Pan African Medical Journal,1937-8688,23-Oct-2020,Journal not adhering to Best practice
Revista de Administratie Publica si Politici Sociale,2067-1695,14-Oct-2020,Web site URL no longer works
Avtomobilʹnyj Transport (Harʹkov),2219-8342,14-Oct-2020,Journal not adhering to Best practice
Zeitschrift Schreiben,1662-1417,13-Oct-2020,Ceased publishing
Materials Science and Applied Chemistry,2255-8713,10-Oct-2020,Ceased publishing
"Estudios sobre Patrimonio, Cultura y Ciencias Medievales",1575-3840,9-Oct-2020,Journal not adhering to best practice
DPA: Documentos de Proyectos de Arquitectura,1577-0265,9-Oct-2020,Journal not adhering to best practice
Saber,1315-0162,9-Oct-2020,Web site URL no longer works
"Catalysis, Structure & Reactivity",2055-0758,8-Oct-2020,Ceased publishing
Scientific Papers of Silesian University of Technology. Organization and Management Series,1641-3466,7-Oct-2020,Journal not adhering to best practice
Scientia et Fides,2300-7648,7-Oct-2020,Journal not adhering to best practice
Malta Journal of Health Sciences,2312-5705,7-Oct-2020,Journal not adhering to best practice
Polish Journal of Management Studies,2081-7452,5-Oct-2020,Web site URL no longer works
Scientific Journal of the Foot & Ankle,2595-1467,30-Sep-2020,Ceased publishing
Revista Iberoamericana de Ciencias de la Actividad Física y el Deporte,2255-0461,29-Sep-2020,Journal not adhering to best practice
Revista Odonto Ciência (Revista de Ciencia Dental),0102-9460,29-Sep-2020,Web site URL no longer works
Open Access Macedonian Journal of Medical Sciences,1857-9655,24-Sep-2020,Journal not adhering to Best practice
Diabetic Foot & Ankle,2000-625X,21-Sep-2020,Ceased publishing
Nailos: Estudios Interdisciplinares de Arqueología,2340-9126,21-Sep-2020,Journal not adhering to best practice
BMC Molecular Biology,1471-2199,18-Sep-2020,Ceased publishing
BMC Biochemistry,1471-2091,18-Sep-2020,Ceased publishing
BMC Chemical Biology,1472-6769,18-Sep-2020,Ceased publishing
Journal of Natural Remedies,0972-5547,17-Sep-2020,Journal not adhering to Best practice
Frontiers in Laboratory Medicine,2542-3649,15-Sep-2020,Changed publisher but hasn't supplied new URLs/site
Journal of Economics and Business Research,2068-3537,14-Sep-2020,Ceased publishing
Estudios Socioterritoriales: Revista de Geografía ,1515-6206,9-Sep-2020,Journal not adhering to best practice
Chemical Bulletin of Kazakh National University,1563-0331,8-Sep-2020,Journal not adhering to best practice
Problemi Informacìjnih Tehnologìj,1998-7005,7-Sep-2020,Web site URL no longer works
E-Journal Ilmu dan Teknologi Kelautan Tropis,2085-6695,7-Sep-2020,Journal not adhering to best practice
Revista de Ingeniería,2011-0049,7-Sep-2020,Journal not adhering to best practice
Derecho y Ciencias Sociales,1853-0982,7-Sep-2020,Journal not adhering to best practice
Disease and Molecular Medicine,2147-6748,7-Sep-2020,Ceased publishing
Journal of Positive Psychology and Wellbeing,2587-0130,4-Sep-2020,Ceased publishing
Jurnal Capture,2338-428X,3-Sep-2020,Journal not adhering to best practice
IJELTAL (Indonesian Journal of English Language Teaching and Applied Linguistics),2527-8746,3-Sep-2020,Journal not adhering to best practice
Journal of International Child Neurology Association,2410-6410,2-Sep-2020,Journal not adhering to best practice
Journal of Computer Science,2362-0110,2-Sep-2020,Web site URL no longer works
Pakistan Journal of Pharmaceutical Research,2410-6275,2-Sep-2020,Journal not adhering to best practice
Jurnal Ilmu dan Kesehatan Hewan,2302-6057,2-Sep-2020,Journal not adhering to best practice
Jurnal Spektran,2302-2590,2-Sep-2020,Journal not adhering to best practice
Media Ilmiah Teknologi Pangan,2407-3814,2-Sep-2020,Journal not adhering to best practice
Al-Ta'lim,2355-7893,2-Sep-2020,Journal not adhering to best practice
Journal of the Indonesian Mathematical Society,2086-8952,2-Sep-2020,Journal not adhering to best practice
BMH Medical Journal,2348-392X,2-Sep-2020,Journal not adhering to best practice
Network Pharmacology,2415-1084,2-Sep-2020,Inactive (has not published in the last calendar year)
Environmental Skeptics and Critics,2224-4263,2-Sep-2020,Ceased publishing
International ResearchScape Journal,2372-1774,1-Sep-2020,Journal not adhering to best practice
Revista Peruana de Ginecología y Obstetricia,2304-5132,31-Aug-2020,Journal not adhering to best practice
Revista de Administração de Roraima,2237-8057,25-Aug-2020,Journal not adhering to best practice
"DEMETRA: Alimentação, Nutrição & Saúde",2238-913X,25-Aug-2020,Journal not adhering to best practice
"Organon",0102-6267,24-Aug-2020,Journal not adhering to best practice
Journal of Coastal Life Medicine,2309-6152,21-Aug-2020,Web site URL no longer works
Joint and Bone Science Journal,2377-309X,21-Aug-2020,Web site URL no longer works
Information Sciences and Computing,2321-8215,21-Aug-2020,Web site URL no longer works
International Medical Journal Malaysia,1823-4631,21-Aug-2020,Web site URL no longer works
IETI Transactions on Business and Management Sciences,2517-9993,21-Aug-2020,Web site URL no longer works
Water Resources and Development,2345-5012,21-Aug-2020,Web site URL no longer works
Revista Internacional de Formação de Professores,2447-8288,21-Aug-2020,Web site URL no longer works
ForScience,2318-6356,21-Aug-2020,Web site URL no longer works
BRAC,2014-8992,21-Aug-2020,Web site URL no longer works
Journal of Industrial Design and Engineering Graphics,1843-3766,21-Aug-2020,Web site URL no longer works
Avicenna Journal of Neuro Psycho Physiology,2383-2444,21-Aug-2020,Web site URL no longer works
International Journal of Health and Rehabilitation Sciences,2278-9014,21-Aug-2020,Web site URL no longer works
Analitica. Rivista online di studi musicali,2279-5065,21-Aug-2020,Web site URL no longer works
Pizhūhishhā-yi zirā̒ī-i Īrān,2423-3978,21-Aug-2020,Web site URL no longer works
Pizhūhishhā-yi ̒ulum-i dāmī-i Īrān,2423-4001,21-Aug-2020,Web site URL no longer works
Majallah-i āb va Khāk,2423-396X,21-Aug-2020,Web site URL no longer works
Būm/shināsī-i kishāvarzī,2423-4281,21-Aug-2020,Web site URL no longer works
SaBios,1980-0002,21-Aug-2020,Web site URL no longer works
Social and Legal Sciences,2544-6770,21-Aug-2020,Web site URL no longer works
Saudi Medical Journal,0379-5284,20-Aug-2020,Web site URL no longer works
En Letra,2362-2148,20-Aug-2020,Web site URL no longer works
MasD,2027-095X,20-Aug-2020,Inactive (has not published in the last calendar year)
Panorama,1909-7433,19-Aug-2020,Web site URL no longer works
Studia Universitatis Babeş-Bolyai: Geographia,1221-079X,19-Aug-2020,Journal not adhering to best practice
İlköğretim Online,1305-3515,18-Aug-2020,Web site URL no longer works
Faces da História,2358-3878,16-Aug-2020,Journal not adhering to best practice
Journal of Scientific Initiation on International Relations,2318-9452,16-Aug-2020,Journal not adhering to best practice
Revista Global Manager,1676-2819,16-Aug-2020,Journal not adhering to best practice
Revista Gênero & Direito,2177-0409,16-Aug-2020,Journal not adhering to best practice
História Oral,1516-7658,16-Aug-2020,Journal not adhering to best practice
Revista Ciências do Trabalho,2319-0574,16-Aug-2020,Journal not adhering to best practice
Revista Libertas,2319-0159,16-Aug-2020,Journal not adhering to best practice
Revista Brasileira de Agroecologia,1980-9735,16-Aug-2020,Journal not adhering to best practice
Boletim Campineiro de Geografia,2236-3637,16-Aug-2020,Journal not adhering to best practice
Oficina do Historiador,2178-3748,16-Aug-2020,Journal not adhering to best practice
Scienze del Territorio,2384-8774,14-Aug-2020,Journal not adhering to best practice
Bio-based and Applied Economics,2280-6180,14-Aug-2020,Journal not adhering to best practice
Cambio,2239-1118,14-Aug-2020,Journal not adhering to best practice
Techne : Journal of Technology for Architecture and Environment,2239-0243,14-Aug-2020,Journal not adhering to best practice
Società MutamentoPolitica: Rivista Italiana di Sociologia,2038-3150,14-Aug-2020,Journal not adhering to best practice
Revista de Psihologie Aplicată,1454-8062,14-Aug-2020,Ceased publishing
Musica / Tecnologia,1974-0042,14-Aug-2020,Journal not adhering to best practice
Storia delle Donne,1826-7505,14-Aug-2020,Journal not adhering to best practice
Case Reports in Nephrology and Urology ,1664-5510,13-Aug-2020,Ceased publishing
Integrative Medicine International,2296-7362,13-Aug-2020,Ceased publishing
Annali Sismondi,2498-9886,13-Aug-2020,Inactive (has not published in the last calendar year)
RT: A Journal on Research Policy and Evaluation,2282-5398,13-Aug-2020,Inactive (has not published in the last calendar year)
Entomologia,2281-9584,12-Aug-2020,Ceased publishing
Cross-Currents: East Asian History and Culture Review,2158-9674,12-Aug-0202,Ceased publishing
Wine Studies,2039-4446,12-Aug-2020,Inactive (has not published in the last calendar year)
Veterinary Science Development,2038-9698,12-Aug-2020,Inactive (has not published in the last calendar year)
Research in Geophysics,2038-9655,12-Aug-2020,Inactive (has not published in the last calendar year)
Networks and Neighbours,2372-4889,11-Aug-2020,Inactive (has not published in the last calendar year)
continent.,2159-9920,11-Aug-2020,Web site URL no longer works
Festival dell'Architettura Magazine,2039-0491,10-Aug-2020,Inactive (has not published in the last calendar year)
Progress in Economic Sciences,2300-4088,11-Aug-2020,Inactive (has not published in the last calendar year)
EMAJ: Electronic Melbourne Art Journal ,1835-6656,11-Aug-2020,Inactive (has not published in the last calendar year)
Bryn Mawr Classical Review,1055-7660,11-Aug-2020,Journal not adhering to best practice
Clinical and Laboratorial Research in Dentistry,2357-8041,7-Aug-2020,Journal not adhering to best practice
Jurnal Jaffray,2407-4047,6-Aug-2020,Journal not adhering to best practice
Journal für Urologie und Urogynäkologie,1680-9424,4-Aug-2020,Journal is no longer Open Access
Manager,1453-0503,4-Aug-2020,Web site URL no longer works
Shanghai Archives of Psychiatry,1002-0829,4-Aug-2020,Ceased publishing
Cogent Physics,2331-1940,4-Aug-2020,Ceased publishing
"Educade: Revista de Educación en Contabilidad, Finanzas y Administración de Empresas",2173-478X,4-Aug-2020,Ceased publishing
Revista Europea de Derecho de la Navegación Marítima y Aeronáutica,1130-2127,4-Aug-2020,Ceased publishing
Chiropractic and Osteopathy,1746-1340,4-Aug-2020,Ceased publishing
Citius Altius Fortius,1582-8131,4-Aug-2020,Ceased publishing
Research Letters in Nanotechnology,1687-6849,4-Aug-2020,Ceased publishing
Revista Brasileira de Zoologia,0101-8175,4-Aug-2020,Ceased publishing
Revista da Faculdade de Educação,0102-2555,4-Aug-2020,Ceased publishing
Ateliers du LESC,1245-1436,4-Aug-2020,Ceased publishing
Journal of Theoretical and Applied Mechanics,1314-8710,4-Aug-2020,Ceased publishing
Research Letters in Electronics,1687-6784,4-Aug-2020,Ceased publishing
Journal of Pakistan Medical Students,2222-2332,4-Aug-2020,Ceased publishing
Revista de Microbiologia,0001-3714,4-Aug-2020,Ceased publishing
Tidsskriftet for Universiteternes Efter- og Videreuddannelse,1603-5518,4-Aug-2020,Ceased publishing
Massekultur & Medier,0107-3753,4-Aug-2020,Ceased publishing
Revista do Hospital das Clínicas,0041-8781,4-Aug-2020,Ceased publishing
Revista Brasileira de Ciências Farmacêuticas,1516-9332,4-Aug-2020,Ceased publishing
Research Letters in Optics,1687-8175,4-Aug-2020,Ceased publishing
Research Letters in Communications,1687-6741,4-Aug-2020,Ceased publishing
Economic Analysis Working Papers,1579-1475,4-Aug-2020,Ceased publishing
Italian Journal of Public Health,1723-7807,4-Aug-2020,Ceased publishing
Research Letters in Ecology,1687-6768,4-Aug-2020,Ceased publishing
Chroniques Yéménites,1996-4978,4-Aug-2020,Ceased publishing
Revista Brasileira de Otorrinolaringologia,0034-7299,4-Aug-2020,Ceased publishing
Revista de Psiquiatria do Rio Grande do Sul,0101-8108,4-Aug-2020,Ceased publishing
Research Letters in Biochemistry,1687-6709,4-Aug-2020,Ceased publishing
ITB Journal of Science,1978-3043,4-Aug-2020,Ceased publishing
Research Letters in Materials Science,1687-6822,4-Aug-2020,Ceased publishing
Współczesna Ekonomia,1897-9254,4-Aug-2020,Ceased publishing
Jornal de Pneumologia,0102-3586,4-Aug-2020,Ceased publishing
Experimental Diabetes Research,1687-5214,4-Aug-2020,Ceased publishing
Journal of Library Science,1018-3817,4-Aug-2020,Ceased publishing
International School Bangkok Journal of Physics,1906-862X,4-Aug-2020,Ceased publishing
Journal: Crimes and Misdemeanours : Deviance and the Law in Historical Perspective,1754-0445,4-Aug-2020,Ceased publishing
Italian Journal of Remote Sensing,1129-8596,4-Aug-2020,Ceased publishing
International Journal of Power Management Electronics,1687-6679,4-Aug-2020,Ceased publishing
Pesquisa Odontológica Brasileira,1517-7491,4-Aug-2020,Ceased publishing
Revista de Odontologia da Universidade de São Paulo,0103-0663,4-Aug-2020,Ceased publishing
Biomedical Data Journal,2367-5322,2-Aug-2020,Ceased publishing
Percurso,1678-569X,1-Aug-2020,Journal not adhering to best practice
"Revista de Gestão, Finanças e Contabilidade",2238-5320 ,1-Aug-2020,Inactive (has not published in the last calendar year)
Vita et Sanitas,1982-5951,1-Aug-2020,Web site URL no longer works
Comunicações,0104-8481,1-Aug-2020,Web site URL no longer works
Sociedade em Debate ,2317-0204,1-Aug-2020,Web site URL no longer works
Ciência & Saúde,1983-652X ,1-Aug-2020,Web site URL no longer works
Relegere: Studies in Religion and Reception,1179-7231,31-Jul-2020,Inactive (has not published in the last calendar year)
Revista del Departamento de Psicología - UFF,0104-8023,31-Jul-2020,Ceased publishing
Research Letters in Signal Processing,1687-6911,31-Jul-2020,Ceased publishing
Annals of the Stefan cel Mare University of Suceava : Fascicle of the Faculty of Economics and Public Administration,2066-575X,31-Jul-2020,Ceased publishing
Revista Dental Press de Ortodontia e Ortopedia Facial,1415-5419,31-Jul-2020,Ceased publishing
Comparative and Functional Genomics,1531-6912,31-Jul-2020,Ceased publishing
Proceedings of the Estonian Academy of Sciences. Geology = Teaduste Akadeemia toimetised,1406-0132,31-Jul-2020,Ceased publishing
Ecological Engineering: X,2590-2903,31-Jul-2020,Ceased publishing
Fisioterapia y Divulgación,2340-9509,30-Jul-2020,Web site URL no longer works
Journal of Media Critiques,2056-9793,29-Jul-2020,Journal not adhering to best practice
Dokuz Eylül Üniversitesi İktisadi ve İdari Bilimler Fakültesi Dergisi,1302-504X,29-Jul-2020,Web site URL no longer works
Cultural Studies Review,1837-8692,28-Jul-2020,Ceased publishing
Вестник травматологии и ортопедии имени Н.Н. Приорова,0869-8678,27-Jul-2020,Journal not adhering to best practice
Journal of Educational Sciences,2581-2203,27-Jul-2020,Journal not adhering to best practice
Didasc@lia : didáctica y educación.,2224-2643,27-Jul-2020,Web site URL no longer works
Guillermo de Ockham,1794-192X,20-Jul-2020,Journal not adhering to best practice
"International Journal for History, Culture and Modernity",2214-9910,20-Jul-2020,Journal is no longer Open Access
International Journal of Strategic Innovative Marketing,2241-8407,20-Jul-2020,Web site URL no longer works
Sustainable Business International Journal,1807-5908,20-Jul-2020,Web site URL no longer works
International Journal of Pure and Applied Sciences and Technology,2229-6107,20-Jul-2020,Web site URL no longer works
Medycyna Środowiskowa,2084-6312,20-Jul-2020,Web site URL no longer works
Temiminós Revista Científica,2317-7764,20-Jul-2020,Web site URL no longer works
Экономика. Налоги. Право,2619-1474,20-Jul-2020,Web site URL no longer works
EJC Supplements,1878-1217,15-Jul-2020,Inactive (has not published in the last calendar year)
"Issues in Science and Technology Librarianship : a quarterly publication of the Science and Technology Section, Association of College and Research Libraries",1092-1206,14-Jul-2020,Ceased publishing
Estudos Conservação e Restauro,1647-2098,12-Jul-2020,Inactive (has not published in the last calendar year)
Revista Internacional Consinter de Direito,2183-6396,10-Jul-2020,Journal not adhering to best practice
Cytojournal,1742-6413,9-Jul-2020,Journal not adhering to Best practice
International Journal of Social and Educational Innovation,2393-0373,8-Jul-2020,Journal not adhering to best practice
Journal für Klinische Endokrinologie und Stoffwechsel,1998-7781,7-Jul-2020,Journal is no longer Open Access
Gazi Mühendislik Bilimleri Dergisi,2149-9373,1-Jul-2020,Journal not adhering to best practice
Turkish Journal of Computer and Mathematics Education,1309-4653,1-Jul-2020,Journal not adhering to best practice
Records of Natural Products,1307-6167,1-Jul-2020,Journal not adhering to best practice
Organic Communications,1307-6175,1-Jul-2020,Journal not adhering to best practice
EntomoBrasilis,1983-0572,30-Jun-2020,Journal not adhering to best practice
Journal of Environmental Analysis and Progress,2525-815X,29-Jun-2020,Journal not adhering to best practice
Plant Breeding and Seed Science,2083-599X,25-Jun-2020,Inactive (has not published in the last calendar year)
Review of Development Finance,1879-9337,24-Jun-2020,Journal is no longer Open Access
Revista Emancipação,1519-7611,23-Jun-2020,Journal not adhering to best practice
Journal of Global Health Care Systems,2159-6743,23-Jun-2020,Web site URL no longer works
Ново знание,1314-5703,22-Jun-2020,Journal not adhering to best practice
International Journal of Zakat,2541-1411,18-Jun-2020,Journal not adhering to best practice
Informador Técnico,0122-056X,16-Jun-2020,Journal not adhering to best practice
Psychiatry and Clinical Psychopharmacology,2475-0581,9-Jun-2020,Changed publisher but hasn't supplied new URLs/site
Encuentros,1692-5858,8-Jun-2020,Journal not adhering to best practice
Therapeutic Targets for Neurological Diseases,2376-0478,4-Jun-2020,Inactive (has not published in the last calendar year)
Stem Cell and Translational Investigation,2377-2557,4-Jun-2020,Inactive (has not published in the last calendar year)
Neurotransmitter,2375-2440,3-Jun-2020,Inactive (has not published in the last calendar year)
Molecular & Cellular Epilepsy,2330-3891,3-Jun-2020,Inactive (has not published in the last calendar year)
Jurnal Perencanaan Wilayah dan Kota,0853-9847,1-Jun-2020,Journal not adhering to best practice
Realidad,1991-3516,28-May-2020,Web site URL no longer works
Revue du Contrôle de la Comptabilité et de l’Audit,2605-6453,28-May-2020,Journal not adhering to Best practice
Studia Humanistyczne,1732-2189,25-May-2020,Journal not adhering to best practice
International Review of Social Sciences and Humanities,2248-9010,25-May-2020,Web site URL no longer works
Across,2602-1463,22-May-2020,Inactive (has not published in the last calendar year)
Jurnal Aksioma,2089-8703,22-May-2020,Journal not adhering to best practice
European Journal of Molecular and Clinical Medicine,2515-8260,22-May-2020,Journal not adhering to best practice
Revista Facultad de Ingeniería,0120-6230,20-May-2020,Journal not adhering to best practice
Jurnal Riset Teknologi Pencegahan Pencemaran Industri,2087-0965,18-May-2020,Journal not adhering to best practice
Future Dental Journal,2314-7180,18-May-2020,Changed publisher but hasn't supplied new URLs/site
Abant Kültürel Araştırmalar Dergisi,2528-9403,18-May-2020,Journal not adhering to best practice
International Journal of Pure and Applied Sciences,2149-0910,18-May-2020,Journal not adhering to best practice
"Jurnal EECCIS (Electrics, Electronics, Communications, Controls, Informatics, Systems)",1978-3345,15-May-2020,Journal not adhering to best practice
Floribunda,0215-4706,15-May-2020,Journal not adhering to best practice
Journal on Migration and Human Security,2330-2488,13-May-2020,Journal is no longer Open Access
Al-Qadisiya Journal Science of Physical Education,1991-7791,12-May-2020,Ceased publishing
Indian Journal of Orthopaedics,1998-3727,12-May-2020,Journal is no longer Open Access
Asian Journal of German and European Studies,2199-4579,12-May-2020,Ceased publishing
Desenvolve: Revista de Gestão do Unilasalle,2316-5537,9-May-2020,Journal not adhering to best practice
Aglala,2215-7360,7-May-2020,Journal not adhering to best practice
Translingual Discourse in Ethnomusicology,2158-6179,7-May-2020,Inactive (has not published in the last calendar year)
