JournalID,JournalTitle,Publisher,eissn,pissn,additionalIssns
130469,Open Journal of Urology,"Scientific Research Publishing, Inc.",2160-5629,2160-5440,
130605,Computer and Information Science,Canadian Center of Science and Education,1913-8997,1913-8989,
130606,International Journal of Economics and Finance,Canadian Center of Science and Education,1916-9728,1916-971X,
130685,Applied Physics Research,Canadian Center of Science and Education,1916-9647,1916-9639,
130825,Vaccine Development and Therapy,Dove Medical Press,2230-2298,,
130885,Italian Journal of Remote Sensing,Associazione Italiana di Telerilevamento,2039-7879,1129-8596,
130926,Clinical Medicine Insights Psychiatry,"Libertas Academica, Ltd.",1179-5573,1179-5573,
130965,Revista de Gestão e Projetos,University Nove de Julho - Uninove,2236-0972,2236-0972,
130985,International Journal of Marketing Studies,Canadian Center of Science and Education,1918-7203,1918-719X,
131005,Journal of Mathematics Research,Canadian Center of Science and Education,1916-9809,1916-9795,
131085,Revista Neuropsicologia Latinoamericana,Revista Neuropsicologia Latinoamericana,2075-9479,,
131105,The Journal of Mathematical Neuroscience,Springer (Biomed Central Ltd.),2190-8567,2190-8567,
131165,International Education Studies,Canadian Center of Science and Education,1913-9039,1913-9020,
131445,Revista de análisis económico,SciELO Agencia Nacional de Investigación y Desarrollo (ANID),0718-8870,,
131465,Catalysts,MDPI AG,2073-4344,,
131486,ConScientiae Saúde,University Nove de Julho - Uninove,1983-9324,1677-1028,
131525,Arachnologische Mitteilungen Arachnology Letters,Arachnologische Mitteilungen,2199-7233,1018-4171,
131646,Research and Reports in Biochemistry,Dove Medical Press,2230-3154,,
131745,aboriginal policy studies,Aboriginal Policy Studies,1923-3299,,
131765,Botanics Targets and Therapy,Dove Medical Press,1179-9897,,
131865,European Journal of Microbiology and Immunology,Akademiai Kiado Zrt.,2062-509X,2062-509X,2062-8633
131945,Exacta,University Nove de Julho - Uninove,1983-9308,1678-5428,
132225,Revista Ibero-Americana de Estratégia,University Nove de Julho - Uninove,2176-0756,2176-0756,
132325,Optics and Photonics Journal,"Scientific Research Publishing, Inc.",2160-889X,2160-8881,
132326,World Journal of Condensed Matter Physics,"Scientific Research Publishing, Inc.",2160-6927,2160-6919,
132327,American Journal of Computational Mathematics,"Scientific Research Publishing, Inc.",2161-1211,2161-1203,
132346,American Journal of Operations Research,"Scientific Research Publishing, Inc.",2160-8849,2160-8830,
132365,Advances in Education,Hans Publishers,2160-7303,2160-729X,
132385,Advances in Psychology,Hans Publishers,2160-7281,2160-7273,
132386,Finance,Hans Publishers,2161-0975,2161-0967,
132387,Modern Management,Hans Publishers,2160-732X,2160-7311,
132388,Material Sciences,Hans Publishers,2160-7621,2160-7613,
132389,Pure Mathematics,Hans Publishers,2160-7605,2160-7583,
132765,Results in Immunology,Elsevier,,2211-2839,
132766,Results in Pharma Sciences,Elsevier,,2211-2863,
132845,Journal of Surface Engineered Materials and Advanced Technology,"Scientific Research Publishing, Inc.",2161-489X,2161-4881,
132846,International Journal of Organic Chemistry,"Scientific Research Publishing, Inc.",2161-4695,2161-4687,
132847,World Journal of Nano Science and Engineering,"Scientific Research Publishing, Inc.",2161-4962,2161-4954,
132965,International Journal of Astronomy and Astrophysics,"Scientific Research Publishing, Inc.",2161-4725,2161-4717,
133065,International Journal of Engineering Pedagogy (iJEP),International Association of Online Engineering,2192-4880,,
133105,Revista de Gestão,Emerald (MCB UP),2177-8736,1809-2276,
133205,EccoS – Revista Científica,University Nove de Julho - Uninove,1983-9278,1517-1949,
133265,Open Journal of Stomatology,"Scientific Research Publishing, Inc.",2160-8717,2160-8709,
133485,Open Journal of Obstetrics and Gynecology,"Scientific Research Publishing, Inc.",2160-8806,2160-8792,
133486,Journal of Encapsulation and Adsorption Sciences,"Scientific Research Publishing, Inc.",2161-4873,2161-4865,
133487,Open Journal of Pediatrics,"Scientific Research Publishing, Inc.",2160-8776,2160-8741,
133545,Revista clínica de periodoncia implantología y rehabilitación oral,SciELO Agencia Nacional de Investigación y Desarrollo (ANID),0719-0107,0718-5391,
133585,Review of European Studies,Canadian Center of Science and Education,1918-7181,1918-7173,
133645,Journal of Public Administration and Governance,"Macrothink Institute, Inc.",2161-7104,,
133705,Higher Education Studies,Canadian Center of Science and Education,1925-475X,1925-4741,
133725,English Language Teaching,Canadian Center of Science and Education,1916-4750,1916-4742,
134065,International Journal of Psychological Studies,Canadian Center of Science and Education,1918-722X,1918-7211,
134225,Open Journal of Statistics,"Scientific Research Publishing, Inc.",2161-7198,2161-718X,
134265,Open Journal of Discrete Mathematics,"Scientific Research Publishing, Inc.",2161-7643,2161-7635,
134266,Open Journal of Geology,"Scientific Research Publishing, Inc.",2161-7589,2161-7570,
134267,World Journal of Nuclear Science and Technology,"Scientific Research Publishing, Inc.",2161-6809,2161-6795,
134268,Journal of Atherosclerosis and Thrombosis,Japan Atherosclerosis Society,1880-3873,1340-3478,
134285,Geomaterials,"Scientific Research Publishing, Inc.",2161-7546,2161-7538,
134287,Open Journal of Marine Science,"Scientific Research Publishing, Inc.",2161-7392,2161-7384,
134465,Journal of Crystallization Process and Technology,"Scientific Research Publishing, Inc.",2161-7686,2161-7678,
134466,American Journal of Molecular Biology,"Scientific Research Publishing, Inc.",2161-6663,2161-6620,
134467,New Journal of Glass and Ceramics,"Scientific Research Publishing, Inc.",2161-7562,2161-7554,
134506,Open Journal of Psychiatry,"Scientific Research Publishing, Inc.",2161-7333,2161-7325,
134845,Stem Cell Discovery,"Scientific Research Publishing, Inc.",2161-6787,2161-6760,
135046,ReMark - Revista Brasileira de Marketing,University Nove de Julho - Uninove,2177-5184,2177-5184,
135145,Open Journal of Animal Sciences,"Scientific Research Publishing, Inc.",2161-7627,2161-7597,
135146,Advances in Molecular Imaging,"Scientific Research Publishing, Inc.",2161-6752,2161-6728,
135345,Journal of Agricultural Science,Canadian Center of Science and Education,1916-9760,1916-9752,
135346,International Journal of Chemistry,Canadian Center of Science and Education,1916-9701,1916-9698,
135405,Khazar Journal of Humanities and Social Sciences,Khazar University Press,2223-2621,,
135545,World Journal of Nuclear Medicine,Georg Thieme Verlag KG,1607-3312,1450-1147,
135626,Applied Petrochemical Research,Springer-Verlag,2190-5533,2190-5525,
135685,Psicologia Ciência e Profissão,SciELO,1982-3703,1414-9893,
136405,Kyungpook mathematical journal,"Department of Mathematics, Kyungpook National University",,1225-6951,
136505,Dicle Medical Journal / Dicle Tip Dergisi,Dicle Medical Journal/Dicle Tip Dergisi,1308-9889,1300-2945,
136725,Pathobiology of Aging & Age-related Diseases,Informa UK (Taylor & Francis),2001-0001,,
136785,Environmental Research Engineering and Management,Kaunas University of Technology (KTU),2029-2139,1392-1649,
136905,Journal of Clinical and Experimental Investigations,Modestum Ltd,1309-6621,1309-8578,
136945,Asian Culture and History,Canadian Center of Science and Education,1916-9663,1916-9655,
137225,World Journal of AIDS,"Scientific Research Publishing, Inc.",2160-8822,2160-8814,
137226,Journal of Cosmetics Dermatological Sciences and Applications,"Scientific Research Publishing, Inc.",2161-4512,2161-4105,
137227,Journal of Sensor Technology,"Scientific Research Publishing, Inc.",2161-1238,2161-122X,
137245,TEMA (São Carlos),Brazilian Society for Computational and Applied Mathematics,2179-8451,1677-1966,
137285,Open Journal of Physical Chemistry,"Scientific Research Publishing, Inc.",2162-1977,2162-1969,
137286,Theoretical Economics Letters,"Scientific Research Publishing, Inc.",2162-2086,2162-2078,
137287,Open Journal of Ecology,"Scientific Research Publishing, Inc.",2162-1993,2162-1985,
137305,Open Journal of Molecular and Integrative Physiology,"Scientific Research Publishing, Inc.",2162-2167,2162-2159,
137405,Revista de Gestão Social e Ambiental,RGSA- Revista de Gestao Social e Ambiental,1981-982X,,
137407,Journal of Management Research,"Macrothink Institute, Inc.",1941-899X,,
137446,Journal of Mathematical Finance,"Scientific Research Publishing, Inc.",2162-2442,2162-2434,
137566,Case Reports in Nephrology and Urology,S. Karger AG,1664-5510,,
137745,Nephron Extra,S. Karger AG,1664-5529,,
137786,Open Journal of Preventive Medicine,"Scientific Research Publishing, Inc.",2162-2485,2162-2477,
137805,Open Journal of Inorganic Chemistry,"Scientific Research Publishing, Inc.",2161-7414,2161-7406,
138707,International Journal of Modern Education and Computer Science,MECS Publisher,2075-017X,2075-0161,
138906,Hans Journal of Nanotechnology,Hans Publishers,2161-0878,2161-086X,
139165,Alexandria Journal of Medicine,Informa UK (Taylor & Francis),2090-5076,2090-5068,
139206,Law Democracy & Development,Academy of Science of South Africa,2077-4907,2077-4907,1028-1053
139325,Molecular Imaging and Radionuclide Therapy,Galenos Yayinevi,2147-1959,2146-1414,
139345,International Journal of Intelligent Systems and Applications,MECS Publisher,2074-9058,2074-904X,
139385,International Journal of Information Engineering and Electronic Business,MECS Publisher,2074-9031,2074-9023,
139405,Clinical Sarcoma Research,Springer (Biomed Central Ltd.),2045-3329,2045-3329,
139425,International Journal of Information Technology and Computer Science,MECS Publisher,2074-9015,2074-9007,
139486,International Journal of Computer Network and Information Security,MECS Publisher,2074-9104,2074-9090,
139505,International Journal of Image Graphics and Signal Processing,MECS Publisher,2074-9082,2074-9074,
139545,Journal of Genetic Engineering and Biotechnology,Elsevier,2090-5920,1687-157X,
139747,Advances in Biological Chemistry,"Scientific Research Publishing, Inc.",2162-2191,2162-2183,
139748,Advances in Materials Physics and Chemistry,"Scientific Research Publishing, Inc.",2162-5328,2162-531X,
139865,Bulletin Economics Organisation and Informatics in Healthcare,De Gruyter Poland Sp. z o.o.,,1318-2927,
139885,Journal of Remanufacturing,Springer (Biomed Central Ltd.),2210-4690,2210-4690,2210-464X
139905,Organic and Medicinal Chemistry Letters,Springer (Biomed Central Ltd.),2191-2858,2191-2858,
140065,Advances in Internet of Things,"Scientific Research Publishing, Inc.",2161-6825,2161-6817,
140405,Journal of the Turkish Epilepsi Society,AVES YAYINCILIK A.S.,,1300-7157,
140485,International Journal of Education,"Macrothink Institute, Inc.",1948-5476,,
140626,Open Journal of Genetics,"Scientific Research Publishing, Inc.",2162-4461,2162-4453,
140627,Open Journal of Microphysics,"Scientific Research Publishing, Inc.",2162-2469,2162-2450,
140645,Open Journal of Acoustics,"Scientific Research Publishing, Inc.",2162-5794,2162-5786,
140646,Open Journal of Soil Science,"Scientific Research Publishing, Inc.",2162-5379,2162-5360,
140845,Egyptian Journal of Ear Nose Throat and Allied Sciences,Egyptian Knowledge Bank,,2090-0740,
140885,Open Journal of Clinical Diagnostics,"Scientific Research Publishing, Inc.",2162-5824,2162-5816,
140886,Open Journal of Immunology,"Scientific Research Publishing, Inc.",2162-4526,2162-450X,
140888,Open Journal of Internal Medicine,"Scientific Research Publishing, Inc.",2162-5980,2162-5972,
140889,Open Journal of Nursing,"Scientific Research Publishing, Inc.",2162-5344,2162-5336,
140906,Socioaffective Neuroscience & Psychology,Informa UK (Taylor & Francis),2000-9011,,
140925,Scientia Militaria South African Journal of Military Studies,Stellenbosch University - Scientia Militaria,2224-0020,1022-8136,2309-9682
141005,Advances in Clinical Medicine,Hans Publishers,2161-8720,2161-8712,
141006,Computer Science and Application,Hans Publishers,2161-881X,2161-8801,
141007,Smart Grid,Hans Publishers,2161-8771,2161-8763,
141025,Hans Journal of Biomedicine,Hans Publishers,2161-8984,2161-8976,
141026,Hans Journal of Chemical Engineering and Technology,Hans Publishers,2161-8852,2161-8844,
141085,Journal of Quantum Information Science,"Scientific Research Publishing, Inc.",2162-576X,2162-5751,
141125,International Journal of Research Studies in Education,Consortia Academia Publishing,2243-7711,2243-7703,
141305,IIOAB Letters,"University Library System, University of Pittsburgh",2161-3702,,
141325,PSIENCIA Revista Latinoamericana de Ciencia Psicológica,Association for the Advancement of Psychological Science,2250-5504,2250-5490,1851-9644
141365,Open Journal of Safety Science and Technology,"Scientific Research Publishing, Inc.",2162-6006,2162-5999,
141565,Revista Brasileira de Medicina de Família e Comunidade,Sociedade Brasileira de Medicina de Familia e Comunidade,2179-7994,1809-5909,
141906,Nanotechnology Development,PAGEPress Publications,2038-968X,2038-9671,
142045,Biologics in Therapy,Springer-Verlag,2190-9164,2195-5840,
142146,Iranica Journal of Energy and Environment,International Digital Organization for Scientific Information,2079-2123,2079-2115,
142245,Global Media Journal African Edition,Stellenbosch University - Global Media Journal African Edition,2073-2740,2073-2740,
142527,Boletim de Ciências Geodésicas,SciELO,1982-2170,1413-4853,
142745,Informação & Informação,Universidade Estadual de Londrina,1981-8920,1414-2139,
142765,Hepatitis Monthly,Brieflands,1735-3408,1735-143X,
142885,International Journal of Research Studies in Language Learning,Consortia Academia Publishing,2243-7762,2243-7754,
142907,International Journal of Research Studies in Management,Consortia Academia Publishing,2243-7789,2243-7770,
142925,Mediterranean Journal of Social Sciences,Richtmann Publishing,2039-2117,2039-9340,3039-9440
143025,Revista Odonto Ciência,EDIPUCRS,1980-6523,0102-9460,
143185,World Journal of Neuroscience,"Scientific Research Publishing, Inc.",2162-2019,2162-2000,
143245,Modern Marketing,Hans Publishers,2160-7370,2160-7362,
143247,Open Journal of Modern Hydrology,"Scientific Research Publishing, Inc.",2163-0496,2163-0461,
143248,International Journal of Intelligence Science,"Scientific Research Publishing, Inc.",2163-0356,2163-0283,
143266,Modern Physics,Hans Publishers,2161-0924,2161-0916,
143285,Operations Research and Fuzziology,Hans Publishers,2163-1530,2163-1476,
143286,Hans Journal of Data Mining,Hans Publishers,2163-1468,2163-145X,
143305,Journal of Management and Sustainability,Canadian Center of Science and Education,1925-4733,1925-4725,
143306,Open Journal of Modern Neurosurgery,"Scientific Research Publishing, Inc.",2163-0585,2163-0569,
143365,International Journal of English Linguistics,Canadian Center of Science and Education,1923-8703,1923-869X,
143385,International Journal of Automation and Smart Technology,Chinese Institute of Automation Engineers,2223-9766,,
143405,Open Journal of Forestry,"Scientific Research Publishing, Inc.",2163-0437,2163-0429,
143565,Journal of Geography and Geology,Canadian Center of Science and Education,1916-9787,1916-9779,
143685,Journal of Politics and Law,Canadian Center of Science and Education,1913-9055,1913-9047,
144065,Journal of Solid Tumors,Sciedu Press,1925-4075,1925-4067,
144085,Colloquium Agrariae,Associacao Prudentina de Educacao e Cultura,1809-8215,1809-8215,
144605,Journal of Turkish Society of Obstetric and Gynecology,Galenos Yayinevi,2149-9330,1307-699X,2149-9322
144985,Journal of the Islamic Medical Association of North America,Islamic Medical Association of North America,2160-9829,0899-8299,
145625,Fórum Linguístico,Universidade Federal de Santa Catarina,1984-8412,1415-8698,
145765,Bulletin of Faculty of Pharmacy Cairo University ,Egyptian Knowledge Bank,2090-9101,1110-0931,
146406,International Journal of Natural Sciences,Bangladesh Academy of Sciences,2221-1020,2221-1012,
146525,Orphan Drugs Research and Reviews,Dove Medical Press,2230-6161,,
146745,International Journal of Endocrinology and Metabolism,Brieflands,1726-9148,1726-913X,
147089,Mediaciones Sociales,Universidad Complutense de Madrid (Publisher),1989-0494,,
147107,Cuadernos de Relaciones Laborales,Universidad Complutense de Madrid (Publisher),1988-2572,1131-8635,
147109,Ángulo Recto Revista de estudios sobre la ciudad como espacio plural,Universidad Complutense de Madrid (Publisher),1989-4015,1989-4015,
147110,Política y Sociedad,Universidad Complutense de Madrid (Publisher),1988-3129,1130-8001,
147645,Biology of Mood & Anxiety Disorders,Springer (Biomed Central Ltd.),2045-5380,2045-5380,
148006,Advances in Anthropology,"Scientific Research Publishing, Inc.",2163-9361,2163-9353,
148007,Modern Mechanical Engineering,"Scientific Research Publishing, Inc.",2164-0181,2164-0165,
148085,Advances in Physical Education,"Scientific Research Publishing, Inc.",2164-0408,2164-0386,
148126,Open Journal of Philosophy,"Scientific Research Publishing, Inc.",2163-9442,2163-9434,
148765,Open Journal of Gastroenterology,"Scientific Research Publishing, Inc.",2163-9469,2163-9450,
148845,Indian Journal of Otology,Ovid Technologies (Wolters Kluwer) - Medknow Publications,2249-9520,0971-7749,
149185,Türk Yoğun Bakım Derneği Dergisi,Galenos Yayinevi,,2146-6416,
149305,Journal of the Egyptian National Cancer Institute,Springer (Biomed Central Ltd.),,1110-0362,
149366,Nigerian Medical Journal,Ovid Technologies (Wolters Kluwer) - Medknow Publications,2229-774X,0300-1652,
149385,Microarrays,MDPI AG,2076-3905,,
149745,Research in Geophysics,PAGEPress Publications,2038-9663,2038-9655,
149785,"""Journal of Pedagogy and Psychology """"Signum Temporis""""""",De Gruyter Poland Sp. z o.o.,1691-4929,1691-4929,
149986,Studies About Languages,Kaunas University of Technology (KTU),2029-7203,1648-2824,
149989,Revista Portuguesa de Cardiologia (English Edition),Elsevier,,2174-2049,
150065,Zbornik Matice srpske za drustvene nauke,National Library of Serbia,2406-0836,0352-5732,
150066,Stochastic Systems,Institute for Operations Research and the Management Sciences,1946-5238,1946-5238,
150285,Journal of Addiction,Hindawi Limited,2090-7850,2090-7834,
150367,Psychology of Well-Being Theory Research and Practice,Springer (Biomed Central Ltd.),2211-1522,2211-1522,
150585,Kansas Library Association College and University Libraries Section Proceedings,New Prairie Press,2160-942X,,
150626,Open Journal of Metal,"Scientific Research Publishing, Inc.",2164-277X,2164-2761,
150627,Open Journal of Radiology,"Scientific Research Publishing, Inc.",2164-3032,2164-3024,
150647,Open Journal of Modern Linguistics,"Scientific Research Publishing, Inc.",2164-2834,2164-2818,
150665,Open Journal of Medical Imaging,"Scientific Research Publishing, Inc.",2164-2796,2164-2788,
150725,Journal of Nonlinear Analysis and Application,ISPACS GmbH,2193-3472,,
150745,Medical Education Development,PAGEPress Publications,2038-954X,2038-9531,
150785,Journal of Higher Education and Science,Zonguldak Bulent Ecevit University,2146-5967,2146-5959,
150845,Journal of Microbiology and Infectious Diseases,ScopeMed,2146-9369,2146-3158,
150905,Plant Pathology & Quarantine,Mushroom Research Foundation,2229-2217,2229-2217,
151065,Dermatology Practical & Conceptual,Mattioli1885,2160-9381,2160-9381,
151245,Combination Products in Therapy,Springer-Verlag,2190-9180,2195-5859,
151365,Journal of Fuzzy Set Valued Analysis,ISPACS GmbH,2193-4169,,
151465,Communications in Numerical Analysis,ISPACS GmbH,2193-4215,,
151626,Communications in Applied and Industrial Mathematics,Walter de Gruyter GmbH,2038-0909,,
151666,Journal of Analytical Sciences Methods and Instrumentation,"Scientific Research Publishing, Inc.",2164-2753,2164-2745,
151805,Journal of Microwaves Optoelectronics and Electromagnetic Applications,SciELO,2179-1074,2179-1074,
151825,Asian Journal of Finance & Accounting,"Macrothink Institute, Inc.",1946-052X,,
152486,Advances in Porous Flow,Hans Publishers,2164-5663,2164-5639,
152565,AFRICAN JOURNAL OF BIOTECHNOLOGY,Academic Journals,1684-5315,,
152588,Health Culture and Society,"University Library System, University of Pittsburgh",2161-6590,,
152866,AFRICAN JOURNAL OF BUSINESS MANAGEMENT,Academic Journals,1993-8233,,
152905,Journal of the Egyptian Mathematical Society,Springer (Biomed Central Ltd.),2090-9128,1110-256X,
152947,World Journal of Cardiovascular Diseases,"Scientific Research Publishing, Inc.",2164-5337,2164-5329,
152966,Open Journal of Composite Materials,"Scientific Research Publishing, Inc.",2164-5655,2164-5612,
152967,American Journal of Industrial and Business Management,"Scientific Research Publishing, Inc.",2164-5175,2164-5167,
153045,Ilha do Desterro A Journal of English Language Literatures in English and Cultural Studies,Universidade Federal de Santa Catarina,2175-8026,0101-4846,
153125,Online Journal of Otolaryngology,ScopeMed,,2250-0359,
153226,Journal of Risk Analysis and Crisis Response,The Journal of Risk Analysis and Crisis Response,2210-8505,2210-8505,2210-8491
153267,Egyptian Journal of Petroleum,Egyptian Petroleum Research Institute,2090-2468,1110-0621,
153269,Asian Pacific Journal of Tropical Disease,Asian Pacific Journal of Tropical Medicine Press,,2222-1808,
153325,African Journal of Agricultural Research,Academic Journals,1991-637X,,
153345,Human-centric Computing and Information Sciences,Springer (Biomed Central Ltd.),2192-1962,2192-1962,
153745,International Journal of the Physical Sciences,Academic Journals,1992-1950,,
153780,Scientific Research and Essays,Academic Journals,1992-2248,,
153816,Dar Es Salaam Medical Students Journal,African Journals Online,0856-7212,0856-7212,
153940,International Journal of Engineering Science and Technology,African Journals Online,2141-2839,2141-2820,
154066,Internet Journal of Medical Update - EJOURNAL,African Journals Online,1694-0423,,
154124,Journal of Language Technology & Entrepreneurship in Africa,African Journals Online,1998-1279,,
154143,KCA Journal of Business Management,African Journals Online,2071-2162,2072-7992,
154187,Madagascar Conservation & Development,African Journals Online,1662-2510,,
154188,Momona Ethiopian Journal of Science,African Journals Online,2073-073X,2073-073X,2220-184X
154227,Lexikos,Stellenbosch University - Lexikos,1684-4904,1684-4904,2224-0039
154285,Hans Journal of Wireless Communications,Hans Publishers,2163-3991,2163-3983,
154286,Environment and Natural Resources Research,Canadian Center of Science and Education,1927-0496,1927-0488,
154327,Pan African Medical Journal,Pan African Medical Journal,1937-8688,,
154390,Sudan Journal of Medical Sciences,Knowledge E DMCC,1858-5051,1858-8530,
154505,Revista Chilena de Neuropsicologia,Revista Chilena de Neuropsicologia,0718-4913,,
154686,Recherche et pratiques pédagogiques en langues de spécialité - Cahiers de l APLIUT,OpenEdition,2119-5242,2257-5405,2119-5242; 2257-5405
154728,English Language and Literature Studies,Canadian Center of Science and Education,1925-4776,1925-4768,
154866,Open Journal of Anesthesiology,"Scientific Research Publishing, Inc.",2164-5558,2164-5531,
154905,African Journal of Pharmacy and Pharmacology,Academic Journals,1996-0816,,
155105,AJIT-e Academic Journal of Information Technology,AJIT-E Academic Journal of Information Technology,1309-1581,1309-1581,
155445,Journal of Nursing Education and Practice,Sciedu Press,1925-4059,1925-4040,
155565,World Journal of Cardiovascular Surgery,"Scientific Research Publishing, Inc.",2164-3210,2164-3202,
155766,Preventing Chronic Disease,Centers for Disease Control and Prevention,1545-1151,,
155865,Notices of the American Mathematical Society,American Mathematical Society,1088-9477,0002-9920,
155925,Trauma Monthly,Brieflands,2251-7472,2251-7464,1028-7868; 1735-7675
156205,Multilingual Education,Springer (Biomed Central Ltd.),2191-5059,2191-5059,
156365,Nephro-Urology Monthly,Brieflands,2251-7014,2251-7006,
156385,International Journal of Academic Research in Business and Social Sciences,Human Resource Management Academic Research Society,2222-6990,2222-6990,
156525,The Indian Journal of Medical Research,Ovid Technologies (Wolters Kluwer) - Medknow Publications,,0971-5916,0975-9174
156545,Cadernos de Terapia Ocupacional da UFSCar,Editora Cubo,0104-4931,,
157145,Journal of Current Surgery,"Elmer Press, Inc.",1927-1301,1927-1298,
157445,Istrazivanja i projektovanja za privredu,Centre for Evaluation in Education and Science,1821-3197,1451-4117,
157805,Journal of Molecular Biology Research,Canadian Center of Science and Education,1925-4318,1925-430X,
157806,Mechanical Engineering Research,Canadian Center of Science and Education,1927-0615,1927-0607,
157807,Journal of Hematological Malignancies,Sciedu Press,1925-4032,1925-4024,
157825,Energy and Environment Research,Canadian Center of Science and Education,1927-0577,1927-0569,
157845,Journal of Materials Science Research,Canadian Center of Science and Education,1927-0593,1927-0585,
158005,Environment and Pollution,Canadian Center of Science and Education,1927-0917,1927-0909,
158045,Bioprocess,Hans Publishers,2164-5582,2164-5566,
158046,Optoelectronics,Hans Publishers,2164-5469,2164-5450,
158085,Iranian Journal of Radiology,Brieflands,2008-2711,1735-1065,
158307,International NGO Journal,Academic Journals,1993-8225,,
158425,Cumhuriyet Dental Journal,Cumhuriyet University Faculty of Dentistry,2146-2852,,
158625,Journal of Pharmaceutics,Hindawi (International Scholarly Research Network),2090-7818,2090-9918,
158725,Neuroscience and Neuroeconomics,Dove Medical Press,2230-3561,,
158745,Journal of Educational and Developmental Psychology,Canadian Center of Science and Education,1927-0534,1927-0526,
158768,Biotechnology and Molecular Biology Reviews,Academic Journals,1538-2273,,
158825,Theranostics,Ivyspring International Publisher,,1838-7640,
158865,International Journal of Biological Sciences,Ivyspring International Publisher,,1449-2288,
158885,International Journal of Medical Sciences,Ivyspring International Publisher,,1449-1907,
158945,Research in Applied Economics,"Macrothink Institute, Inc.",1948-5433,,
159025,African Journal of Biochemistry Research,Academic Journals,1996-0778,,
159365,European Integration Studies,Kaunas University of Technology (KTU),2335-8831,1822-8402,
159547,Revista Electrónica Complutense de Investigación en Educación Musical - RECIEM,Universidad Complutense de Madrid (Publisher),1698-7454,,
159746,Materials Science-Poland,De Gruyter Poland Sp. z o.o.,2083-134X,2083-1331,
159885,Colloquium Vitae,Associacao Prudentina de Educacao e Cultura,1984-6436,,
159925,Journal of Blood Transfusion,Hindawi Limited,2090-9195,2090-9187,
159965,Brno Studies in English,Masaryk University Press,0524-6881,0524-6881,1805-0867
160286,Journal of Clinical Medicine,MDPI AG,2077-0383,,
160545,Colloquium Humanarum,Associacao Prudentina de Educacao e Cultura,1809-8207,1809-8207,
160565,ANADOLU JOURNAL OF AGRICULTURAL SCIENCES,Anadolu Journal of Agricultural Sciences,1308-8769,1308-8750,
161525,Earth Science Research,Canadian Center of Science and Education,1927-0550,1927-0542,
161565,Sustainable Agriculture Research,Canadian Center of Science and Education,1927-0518,1927-050X,
161586,Aquatic Biosystems,Springer (Biomed Central Ltd.),2046-9063,2046-9063,
161645,Rajiv Gandhi University of Health Sciences Journal of Pharmaceutical Sciences,Rajiv Gandhi University of Health Sciences,2249-2208,2249-2208,
161705,Journal of Food Research,Canadian Center of Science and Education,1927-0895,1927-0887,
161765,Communications in Mobile Computing,Springer (Biomed Central Ltd.),2192-1121,2192-1121,
162185,Journal of Minimally Invasive Surgical Sciences,Brieflands,2251-7030,2251-7022,
162525,First Monday,University of Illinois Libraries,1396-0466,,
162725,World Journal of Nephrology and Urology,"Elmer Press, Inc.",1927-1247,1927-1239,
163085,Journal of Intercultural Ethnopharmacology,ScopeMed,2146-8397,,
163145,Sistemas & Gestão,Laikos Servicos Ltda,1980-5160,,
163365,Journal of Clinical Gynecology and Obstetrics,"Elmer Press, Inc.",1927-128X,1927-1271,
163785,Global Journal Al-Thaqafah,Universiti Sultan Azlan Shah,2232-0482,2232-0474,
163887,Kidney Research and Clinical Practice,Elsevier,,2211-9132,
164646,Microbiology Research,MDPI AG,2036-7481,2036-7473,
164805,Journal of Studies in Education,"Macrothink Institute, Inc.",2162-6952,,
165045,Journal of Plant Studies,Canadian Center of Science and Education,1927-047X,1927-0461,
165165,Security Informatics,Springer (Biomed Central Ltd.),2190-8532,2190-8532,
165445,Advanced Computational Techniques in Electromagnetics,ISPACS GmbH,2194-0266,,
165527,Journal of Hematology,"Elmer Press, Inc.",1927-1220,1927-1212,
165545,International Journal of Clinical Pediatrics,"Elmer Press, Inc.",1927-1263,1927-1255,
165785,Journal of the South African Veterinary Association,Medpharm Publications,2224-9435,1019-9128,
165825,Opticon1826,UCL Press,2049-8128,2049-8128,
166046,SpringerPlus,Springer (Biomed Central Ltd.),2193-1801,2193-1801,
166265,Administrative Issues Journal Education Practice and Research,"Administrative Issues Journal: Education, Practice and Research",2153-7615,,
166405,Kosuyolu Kalp Dergisi,"Kosuyolu Heart Journal, Health Sciences University",,1300-8706,
166745,Itinerarius Reflectionis,Universidade Federal de Jataí,1807-9342,1679-2009,
166885,Karaelmas Science and Engineering Journal,"Karaelmas Science and Engineering Journal, Zonguldak Bulent Ecevit University",2146-7277,2146-4987,
167445,Revista Gestão Inovação e Tecnologias,Centivens Institute of Innovative Research,2237-0722,2237-0722,
167726,Lithuanian Annual Strategic Review,General Jonas Zemaitis Military Academy of Lithuania,2335-870X,1648-8024,
167746,Flavour,Springer (Biomed Central Ltd.),2044-7248,2044-7248,
167845,Journal of Water Resources Research,Hans Publishers,2166-5982,2166-6024,
167847,Hans Journal of Food and Nutrition Science,Hans Publishers,2166-6121,2166-613X,
168325,Cumhuriyet Medical Journal,Cumhuriyet Medical Journal,1305-0028,,
168366,Motivational Interviewing Training Research Implementation Practice,"University Library System, University of Pittsburgh",2160-584X,,
168625,Anales de Psicología,Servicio de Publicaciones de la Universidad e Murcia,1695-2294,0212-9728,
