,,This data is licensed with a CC BY-SA 4.0 license as per DOAJ's Terms and conditions of use,
Revista de Letras,0101-8051,23-May-2024,Journal not adhering to Best practice
Revista Chilena de Estudios Medievales,0719-689X,23-May-2024,Website URL no longer works
Revista Nordestina de História do Brasil,2596-0334,23-May-2024,Website URL no longer works
Revista Territorio y Regionalismos,2452-5650,23-May-2024,Journal not adhering to Best practice
Revista Pilquen: Sección Ciencias Sociales,1851-3123,23-May-2024,Journal not adhering to Best practice
Revista de Micro e Pequenas Empresas e Empreendedorismo da Fatec-Osasco,2446-8622,22-May-2024,Website URL no longer works
Atas de Saúde Ambiental,2357-7614,22-May-2024,Ceased publishing
Revista de Direitos e Garantias Fundamentais,2175-6058,22-May-2024,Website URL no longer works
Flora Infeksiyon Hastalıkları ve Klinik Mikrobiyoloji Dergisi,2602-2842,22-May-2024,Journal not adhering to Best practice
Spor Hekimligi Dergisi,2587-1498,22-May-2024,Journal not adhering to Best practice
Mediterranean Marine Science,1791-6763,22-May-2024,Website URL no longer works
Alcance,2411-9970,22-May-2024,Website URL no longer works
Revista del Jardín Botánico Nacional,2410-5546,22-May-2024,Website URL no longer works
MHSalud,1659-097X,22-May-2024,Website URL no longer works
Uluslararası Politik Araştırmalar Dergisi,2149-8539,22-May-2024,Website URL no longer works
Il Pensiero Storico,2531-3983,21-May-2024,Journal is no longer Open Access
Jurnal Ilmiah Agribisnis,2503-4375,20-May-2024,Journal not adhering to Best practice
Journal of International and Global Studies ,2158-0669,20-May-2024,Ceased publishing
Profesi (Profesional Islam): Media Publikasi Penelitian,2548-9933,19-May-2024,Journal not adhering to Best practice
Jurnal Komunikasi,2528-2727,19-May-2024,Journal not adhering to Best practice
Healthy-Mu Journal,2597-3851,19-May-2024,Journal not adhering to Best practice
Journal of Government and Civil Society,2579-440X,19-May-2024,Journal not adhering to Best practice
Mathunesa: Jurnal Ilmiah Matematika,2716-506X,19-May-2024,Journal not adhering to Best practice
Jurnal Pengabdian Dharma Laksana,2621-7147,19-May-2024,Journal not adhering to Best practice
JENIUS (Jurnal Ilmiah Manajemen Sumber Daya Manusia),2598-9502,19-May-2024,Journal not adhering to Best practice
Efektif,2622-9935 ,19-May-2024,Journal not adhering to Best practice
Journal of Applied Computing and Information Technology,2230-4398,17-May-2024,Website URL no longer works
Journal of Maize Research and Development,2467-9305,17-May-2024,Website URL no longer works
Journal of Orthopaedics and Spine,2666-7150,17-May-2024,Website URL no longer works
Indian Journal of Medical Research,0971-5916,17-May-2024,Website URL no longer works
Psikiyatri Hemşireliği Dergisi,2149-374X,14-May-2024,Website URL no longer works
Tropical Conservation Science,1940-0829,14-May-2024,Journal is no longer Open Access
International Journal of Tryptophan Research,1178-6469,14-May-2024,Journal is no longer Open Access
Journal of the Renin-Angiotensin-Aldosterone System ,1752-8976,14-May-2024,Journal is no longer Open Access
Revista de Estudos e Investigações Antropológicas,2446-6972,13-May-2024,Journal not adhering to Best practice
Iqtishadia: Jurnal Ekonomi & Perbankan Syariah,2442-3076,11-May-2024,Journal not adhering to Best practice
Kiru,1812-7886,10-May-2024,Journal not adhering to Best practice
Escripturas,2526-6543,10-May-2024,Journal not adhering to Best practice
Estudos Econômicos,0101-4161,10-May-2024,Journal not adhering to Best practice
IJEBP (International Journal of Educational Best Practices),2581-0847,10-May-2024,Journal not adhering to Best practice
Jurnal Gizi dan Pangan,2407-0920,10-May-2024,Journal not adhering to Best practice
Experimental Physiology,1469-445X,10-May-2024,Journal not adhering to Best practice
Revista Brasileira de Iniciação Científica,2359-232X,9-May-2024,Journal not adhering to Best practice
Journal of Dental Research and Review,2348-3172,9-May-2024,Website URL no longer works
Journal of Dental and Allied Sciences,2277-6672,9-May-2024,Website URL no longer works
International Journal of Educational and Psychological Researches,2395-2296,9-May-2024,Website URL no longer works
Indian Journal of Research in Homoeopathy,2320-7094,9-May-2024,Website URL no longer works
Indian Journal of Nephrology,1998-3662,9-May-2024,Website URL no longer works
Indian Journal of Drugs in Dermatology ,2455-3972,9-May-2024,Website URL no longer works
Hamdan Medical Journal,2227-247X,9-May-2024,Website URL no longer works
Optimum Ekonomi ve Yönetim Bilimleri Dergisi,2148-4228,9-May-2024,Website URL no longer works
Uluslararası Iktisadi ve Idari Incelemeler Dergisi,1307-9859,9-May-2024,Website URL no longer works
Journal of Science and Engineering,2148-3736,9-May-2024,Website URL no longer works
Süleyman Demirel Üniversitesi Eğirdir Su Ürünleri Fakültesi Dergisi,1308-7517,9-May-2024,Website URL no longer works
Intellector,1807-1260,9-May-2024,Journal not adhering to Best practice
International Journal of Advanced and Applied Sciences,2313-3724,8-May-2024,Journal not adhering to Best practice
Annals of Electrical and Electronic Engineering ,2616-9061,8-May-2024,Ceased publishing
Jurnal Kimia (Journal of Chemistry),2599-2740,7-May-2024,Journal not adhering to Best practice
Revista de Gestão em Sistemas de Saúde,2316-3712,7-May-2024,Ceased publishing
REMark: Revista Brasileira de Marketing,2177-5184,7-May-2024,Journal not adhering to Best practice
Ilef Dergisi,2458-9209,7-May-2024,Journal not adhering to Best practice
Selçuk Üniversitesi Edebiyat Fakültesi Dergisi,2458-908X,7-May-2024,Journal not adhering to Best practice
Revista de la Escuela Superior de Guerra Naval,2706-5928,7-May-2024,Website URL no longer works
Neumann Business Review ,2412-3730,7-May-2024,Website URL no longer works
Cub@: Medio Ambiente y Desarrollo,1683-8904,7-May-2024,Website URL no longer works
JALIE: Journal of Applied Linguistics and Islamic Education,2549-8622,7-May-2024,Website URL no longer works
Edukasia Islamika: Jurnal Pendidikan Islam,2548-5822,7-May-2024,Website URL no longer works
Sainstek: Jurnal Sains dan Teknologi,2085-8019,7-May-2024,Website URL no longer works
Al-Fikrah: Jurnal Manajemen Pendidikan,2549-9106,7-May-2024,Website URL no longer works
Jurnal IPI,2621-4873,7-May-2024,Website URL no longer works
Religia,2527-5992,7-May-2024,Website URL no longer works
Journal of Islamic Economics and Finance,2797-6432,7-May-2024,Website URL no longer works
MALTESAS Multi-Disciplinary Research Journal,0127-6271,7-May-2024,Website URL no longer works
Journal of Asian Review of Public Affairs and Policy,2539-6080,7-May-2024,Website URL no longer works
Islamika Inside: Jurnal Keislaman dan Humaniora,2580-8885,7-May-2024,Website URL no longer works
Zhongguo Yancao Xuebao,1004-5708,7-May-2024,Website URL no longer works
Revista de Gestão e Projetos,2236-0972,6-May-2024,Journal not adhering to Best practice
Podium,2316-932X,6-May-2024,Journal not adhering to Best practice
Revista Thesis Juris,2317-3580,5-May-2024,Journal not adhering to Best practice
Exacta,1678-5428,5-May-2024,Journal not adhering to Best practice
ConScientiae Saúde,1677-1028,5-May-2024,Journal not adhering to Best practice
Revista Observatório,2447-4266,5-May-2024,Journal not adhering to Best practice
EccoS Revista Científica ,1517-1949,5-May-2024,Journal not adhering to Best practice
Boletim do Instituto de Pesca ,1678-2305,5-May-2024,Journal not adhering to Best practice
Perspectivas da Ciência e Tecnologia,1984-5693,3-May-2024,Journal not adhering to Best practice
Geopauta,2594-5033,2-May-2024,Journal not adhering to Best practice
Futurity Education,2956-3402,2-May-2024,Journal not adhering to Best practice
UTC Prospectivas: Revista de Ciencias Administrativas y Económicas,2631-259X,2-May-2024,Website URL no longer works
Revista Virtual de Posgrado de la Facultad de Medicina de la Universidad Nacional de Itapua ,2415-5780,2-May-2024,Website URL no longer works
Revista Universitaria de la Educación Física y el Deporte ,2393-6444,2-May-2024,Website URL no longer works
Revista CENIC. Ciencias Biológicas ,2221-2450,2-May-2024,Website URL no longer works
Anadolu Tarım Bilimleri Dergisi,1308-8769,1-May-2024,Website URL no longer works
Mustafa Kemal Üniversitesi Tıp Dergisi,2149-3103,1-May-2024,Website URL no longer works
Turkish Journal of Forest Science,2618-6616,1-May-2024,Website URL no longer works
Journal of Social Studies Education Research,1309-9108,1-May-2024,Journal not adhering to Best practice
Journal of Analytic Divinity,2602-3792,1-May-2024,Website URL no longer works
International Journal of Environment and Geoinformatics,2148-9173,1-May-2024,Website URL no longer works
International Journal of Pediatrics,2345-5055,29-April-2024,Journal not adhering to Best practice
Радиопромышленность,2541-870X,29-April-2024,Ceased publishing
Gaziantep University Journal of Social Sciences,2149-5459,29-April-2024,Website URL no longer works
Mantik: Jurnal Matematika,2527-3167,27-April-2024,Journal not adhering to Best practice
Juris (Jurnal Ilmiah Syariah) ,2580-2763,27-April-2024,Journal not adhering to Best practice
Al-Bank ,2797-8265,27-April-2024,Journal not adhering to Best practice
International Journal of Emerging Issues in Early Childhood Education,2655-9986,26-April-2024,Website URL no longer works
International Journal of Theory and Application in Elementary and Secondary School Education,2656-0003,26-April-2024,Website URL no longer works
Eurasian Journal of Family Medicine,2147-3161,26-April-2024,Journal not adhering to Best practice
REVISA,2316-848X,25-April-2024,Website URL no longer works
Brazilian Journal of African Studies,2448-3915,25-April-2024,Journal not adhering to Best practice
Revista Limiar,2318-423X,25-April-2024,Journal not adhering to Best practice
Praxis & Saber,2462-8603,25-April-2024,Website URL no longer works
La Palabra,2346-3864,25-April-2024,Website URL no longer works
Vascular and Endovascular Review,2516-3302,25-April-2024,Journal not adhering to Best practice
Eurasian Journal of Environmental Research,2602-2990,24-April-2024,Ceased publishing
Eurasian Journal of Civil Engineering and Architecture,2602-3865,24-April-2024,Ceased publishing
Erciyes Üniversitesi İktisadi ve İdari Bilimler Fakültesi Dergisi,2630-6409,24-April-2024,Website URL no longer works
Çukurova Üniversitesi İktisadi ve İdari Bilimler Fakültesi Dergisi,1300-3747,24-April-2024,Website URL no longer works
Ankara Üniversitesi Eğitim Bilimleri Fakültesi Dergisi,2458-8342,24-April-2024,Website URL no longer works
Anadolu University Journal of Science and Technology: B Theoretical Sciences,2146-0191,24-April-2024,Website URL no longer works
 SDU International Journal of Education Studies,2148-9068,24-April-2024,Journal not adhering to Best practice
"Revista Educação, Cultura e Sociedade", 2237-1648,18-April-2024,Website URL no longer works
Arquivos do CMD,2318-5422,18-April-2024,Website URL no longer works
Revista @mbienteeducação,1982-8632,18-April-2024,Website URL no longer works
Veredas da História ,1982-4238,18-April-2024,Website URL no longer works
Ciberlegenda,1519-0617,18-April-2024,Website URL no longer works
Boletim de Ciências Geodésicas ,1413-4853,18-April-2024,Website URL no longer works
Revista Educação e Emancipação,1677-6097,18-April-2024,Website URL no longer works
Argumentum,2176-9575,18-April-2024,Website URL no longer works
Revista Confluências Culturais,2316-395X,18-April-2024,Journal not adhering to Best practice
Journal of the South African Veterinary Association,2224-9435,18-April-2024,Journal is no longer Open Access
"Journal of Education, Mahasarakham University",1905-9922,17-April-2024,Website URL no longer works
Memorias,1794-8886,17-April-2024,Website URL no longer works
Jurnal Penelitian	,2541-6944,17-April-2024,Journal not adhering to Best practice
Acta Aquatica Turcica,2651-5474,15-April-2024,Website URL no longer works
"Revista de Sistemas, Cibernética e Informática ",1690-8627,15-April-2024,Inactive (has not published in the last calendar year)
Irish Journal of Paramedicine,2009-938X,15-April-2024,Ceased publishing
Agenda Política ,2318-8499,14-April-2024,Website URL no longer works
Ensaios Pedagógicos,2527-158X,14-April-2024,Website URL no longer works
GESTÃO.Org : Revista Eletrônica de Gestão Organizacional,1679-1827,14-April-2024,Website URL no longer works
Revista Brasileira de Geografia Física,1984-2295,14-April-2024,Website URL no longer works
Journal of Hyperspectral Remote Sensing,2237-2202,14-April-2024,Website URL no longer works
Tópicos Educacionais,0101-8701,14-April-2024,Website URL no longer works
Linguagem & Ensino,1983-2400,14-April-2024,Website URL no longer works
Caletroscópio,2318-4574,14-April-2024,Website URL no longer works
Territórios e Fronteiras ,1519-4183,14-April-2024,Website URL no longer works
Linguagem: Estudos e Pesquisas,1519-6240 ,14-April-2024,Website URL no longer works
Revista Exitus,2236-2983,14-April-2024,Website URL no longer works
Revelli ,1984-6576,14-April-2024,Website URL no longer works
Revista Mediação,1980-556X,14-April-2024,Website URL no longer works
Publif@rum,1824-7482,13-April-2024,Journal not adhering to Best practice
Journal of Social and Policy Issues ,2807-3843,12-April-2024,Journal not adhering to Best practice
Journal of Intelligent Procedures in Electrical Technology,2322-3871,11-April-2024,Website URL no longer works
Journal of Advances in Vehicle Engineering,2423-7345,11-April-2024,Website URL no longer works
Jurnal Meteorologi dan Geofisika,2527-5372,11-April-2024,Website URL no longer works
Gandhara Journal of Research in Social Science,2415-2404,11-April-2024,Website URL no longer works
Revista Educação em Questão,0102-7735,11-April-2024,Journal not adhering to Best practice
Codex: Revista de Estudos Clássicos,2176-1779,11-April-2024,Journal not adhering to Best practice
Revista Brasileira de Engenharia Agrícola e Ambiental - Agriambi,1415-4366,11-April-2024,Journal not adhering to Best practice
Sociopoética,1980-7848,10-April-2024,Website URL no longer works
Revista Eletrônica de Estratégia e Negócios,1984-3372,10-April-2024,Website URL no longer works
Journal of Applied Bioanalysis,2405-710X,10-April-2024,Journal not adhering to Best practice
Development Engineering,2352-7285,10-April-2024,Ceased publishing
Journal of Computational Physics: X,2666-8289,10-April-2024,Ceased publishing
International Journal of Pediatrics and Adolescent Medicine,2352-6467,10-April-2024,Ceased publishing
Physics in Medicine,2352-4510,10-April-2024,Ceased publishing
Egyptian Journal of Petroleum,1110-0621,10-April-2024,Ceased publishing
Results in Geochemistry ,2666-2779,10-April-2024,Ceased publishing
Graphics and Visual Computing ,2666-6294,10-April-2024,Ceased publishing
Results in Geophysical Sciences,2666-8289,10-April-2024,Ceased publishing
Clinical Spectroscopy,2666-0547,10-April-2024,Ceased publishing
JRSM Cardiovascular Disease,2048-0040,10-April-2024,Journal is no longer Open Access
Clinical Medicine Insights: Pediatrics,1179-5565,10-April-2024,Journal is no longer Open Access
Clinical Medicine Insights: Arthritis and Musculoskeletal Disorders ,1179-5441,10-April-2024,Journal is no longer Open Access
Cadernos de Terapia Ocupacional,0104-4931,9-April-2024,Journal not adhering to Best practice
Egyptian Rheumatologist,1110-1164,9-April-2024,Journal is no longer Open Access
La camera blu,2531-6605,8-April-2024,Website URL no longer works
"Matemáticas, Educación y Sociedad",2603-9982,8-April-2024,Journal not adhering to Best practice
Revista Chapingo: Serie Ciencias Forestales y del Ambiente,2007-4018,8-April-2024,Journal not adhering to Best practice
Secuencia. Revista de Historia y Ciencias sociales,2395-8464,8-April-2024,Journal not adhering to Best practice
Revista Internacional de Doctrina y Jurisprudencia,2255-1824,8-April-2024,Journal not adhering to Best practice
Anuario TAREA,2469-0422,8-April-2024,Journal not adhering to Best practice
Revista Reflexiones,1659-2859,8-April-2024,Journal not adhering to Best practice
Journal of Childhood Education,2620-3278,8-April-2024,Journal not adhering to Best practice
International Journal of Automotive and Mechanical Engineering,2180-1606,7-April-2024,Website URL no longer works
International Journal of Software Engineering and Computer Systems,2180-0650,7-April-2024,Website URL no longer works
Knowbase,2797-7501,7-April-2024,Website URL no longer works
TRIA: Territorio della Ricerca su Insediamenti e Ambiente,1974-6849,7-April-2024,Website URL no longer works
Revista de Educación de la Universidad de Granada,0214-0489,7-April-2024,Website URL no longer works
Jurnal Educative: Journal of Educational Studies,2549-4139,7-April-2024,Journal not adhering to Best practice
Jurnal Fuaduna,2614-8129,7-April-2024,Journal not adhering to Best practice
Islam Transformatif: Journal of Islamic Studies,2599-2171,7-April-2024,Journal not adhering to Best practice
Journal of Postgraduate Medicine,0972-2823,6-April-2024,Journal is no longer Open Access
Dimensiones Turísticas,2594-2069,5-April-2024,Journal not adhering to Best practice
Espacios en Blanco: Serie Indagaciones,2313-9927,5-April-2024,Journal not adhering to Best practice
Journal of Epidemiology and Public Health,2549-0273,5-April-2024,Journal not adhering to Best practice
Journal of Health Policy and Management,2549-0281,5-April-2024,Journal not adhering to Best practice
Indonesian Journal of Medicine,2549-0265,5-April-2024,Journal not adhering to Best practice
Jurnal Peternakan,2355-9470,5-April-2024,Journal not adhering to Best practice
Alsuna,2615-0905,5-April-2024,Journal not adhering to Best practice
ICCT Research Papers,2468-0664,4-April-2024,Website URL no longer works
Atthulab: Islamic Religion Teaching and Learning Journal,2598-0971,4-April-2024,Journal not adhering to Best practice
Islam Realitas: Journal of Islamic & Social Studies,2477-1201,4-April-2024,Website URL no longer works
Revista Cubana de Medicina Intensiva y Emergencias ,1810-2352,4-April-2024,Ceased publishing
Revista Electrónica Formación y Calidad Educativa,1390-9010,3-April-2024,Website URL no longer works
En Torno a la Prevención ,2215-3845,3-April-2024,Website URL no longer works
Crop Breeding and Applied Biotechnology,1984-7033,3-April-2024,Journal not adhering to Best practice
Revista Brasileira de Ciências Policiais,2318-6917,3-April-2024,Website URL no longer works
Cadernos Brasileiros de Terapia Ocupacional,2526-8910,2-April-2024,Journal not adhering to Best practice
Süleyman Demirel Üniversitesi Fen Bilimleri Enstitüsü Dergisi,1308-6529,2-April-2024,Journal not adhering to Best practice
Urbe : Revista Brasileira de Gestão Urbana,2175-3369,2-April-2024,Journal not adhering to Best practice
IPTEK: The Journal for Technology and Science,2088-2033,2-April-2024,Website URL no longer works
Jurnal Teknik Sipil,2502-5295,2-April-2024,Website URL no longer works
Journal of Veterinary Andrology,2542-3045,2-April-2024,Website URL no longer works
Jurnal Promosi Program Studi Pendidikan Ekonomi ,2442-9449,2-April-2024,Journal not adhering to Best practice
Journal of Information Systems Engineering & Management,2468-4376,2-April-2024,Journal not adhering to Best practice
Spektra: Jurnal Kajian Pendidikan Sains,2548-642X,1-April-2024,Website URL no longer works
Jurnal Penyakit Dalam Indonesia,2549-0621,1-April-2024,Website URL no longer works
Jurnal Penelitian Kehutanan Wallacea,2407-7860,1-April-2024,Website URL no longer works
Jurnal Kefarmasian Indonesia,2354-8770,1-April-2024,Website URL no longer works
Advanced Journal of Emergency Medicine,2588-400X,31-March-2024,Website URL no longer works
Wartazoa,2354-6832,31-March-2024,Website URL no longer works
Jurnal Ilmu Ternak dan Veteriner,0853-7380,31-March-2024,Website URL no longer works
Buletin Penelitian Tanaman Rempah dan Obat,0215-0824,31-March-2024,Website URL no longer works
Revista Iberoamericana de Argumentación,2172-8801,31-March-2024,Website URL no longer works
IUS ET SCIENTIA,2444-8478,31-March-2024,Website URL no longer works
3C TIC,2254-6529,31-March-2024,Website URL no longer works
Güncel Turizm Araştırmaları Dergisi,2602-3008,29-March-2024,Journal not adhering to Best practice
3C Empresa,2254-3376,28-March-2024,Website URL no longer works
Revista Controle,1980-086X,28-March-2024,Website URL no longer works
Izvestiâ Uralʹskogo Gosudarstvennogo Gornogo Universiteta,2307-2091,28-March-2024,Website URL no longer works
Систематические заметки по материалам гербария имени П.Н. Крылова Томского государственного университета,2076-4103,27-March-2024,Website URL no longer works
"Известия Сибирского отделения секции наук о Земле Российской академии естественных наук: Геология, разведка и разработка месторождений полезных ископаемых",2541-9455,27-March-2024,Website URL no longer works
Неофилология,2587-6953,27-March-2024,Website URL no longer works
Вестник Института социологии,2221-1616,27-March-2024,Website URL no longer works
Вектор ГеоНаук,2619-0761,27-March-2024,Website URL no longer works
Studii Juridice Universitare,1857-4122,27-March-2024,Website URL no longer works
Sustainability,2071-1050,26-March-2024,Journal not adhering to Best practice
Translational Metabolic Syndrome Research,2588-9303,26-March-2024,Ceased publishing
Solid State Electronics Letters,2589-2088,26-March-2024,Ceased publishing
Gynecology and Obstetrics Clinical Medicine,2667-1646,26-March-2024,Website URL no longer works
He huaxue yu fangshe huaxue,0253-9950,26-March-2024,Website URL no longer works
International Electronic Journal of Algebra,1306-6048,26-March-2024,Journal not adhering to Best practice
Kliničeskaâ onkogematologiâ,1997-6933,26-March-2024,Journal not adhering to Best practice
Revista de Gestão Ambiental e Sustentabilidade,2316-9834,25-March-2024,Journal not adhering to Best practice
Yachana,1390-7778,25-March-2024,Journal not adhering to Best practice
Muhasebe ve Finans İncelemeleri Dergisi,2630-5836,25-March-2024,Journal not adhering to Best practice
Journal of Algebra Combinatorics Discrete Structures and Applications,2148-838X,25-March-2024,Journal not adhering to Best practice
Revista Electrónica de Investigación en Educación en Ciencias,1850-6666,24-March-2024,Website URL no longer works
Journal of Research in Engineering and Applied Sciences,2456-6403,24-March-2024,Website URL no longer works
Revista Abierta de Informática Aplicada,2591-5320,24-March-2024,Website URL no longer works
Cuadernos de Herpetología,1852-5768,24-March-2024,Website URL no longer works
URBS: Revista de Estudios Urbanos y Ciencias Sociales,2014-2714,24-March-2024,Website URL no longer works
Artseduca,2254-0709,24-March-2024,Website URL no longer works
Estudos de Linguistica Galega,1989-578X,24-March-2024,Website URL no longer works
Temas Americanistas,0212-4408,24-March-2024,Website URL no longer works
Quiroga,2254-7037,24-March-2024,Website URL no longer works
"Uluslararası Spor, Egzersiz ve Antrenman Bilimi Dergisi",2149-8229,24-March-2024,Journal not adhering to Best practice
Papeles de Trabajo,1851-2577,23-March-2024,Website URL no longer works
RESEARCH TRENDS IN HUMANITIES,2284-0184,23-March-2024,Website URL no longer works
International Journal of Geography and Geography Education,2630-6336,23-March-2024,Journal not adhering to Best practice
International Journal of Cancer Therapy and Oncology,2330-4049,23-March-2024,Website URL no longer works
Statistics in Transition,1234-7655,23-March-2024,Website URL no longer works
"UPLanD: Journal of Urban Planning, Landscape & Environmental Design",2531-9906,22-March-2024,Website URL no longer works
Gastrointestinal Tumors ,2296-3766,22-March-2024,Ceased publishing
Pretexto,1517-672X,21-March-2024,Journal not adhering to Best practice
Geografija ir Edukacija,2351-6453,21-March-2024,Journal not adhering to Best practice
Journal of Innovation and Research in Primary Education,2829-775X,21-March-2024,Journal not adhering to Best practice
Indonesian Journal of Education and Social Science,2830-6996,21-March-2024,Journal not adhering to Best practice
Edukasiana,2809-6770,21-March-2024,Journal not adhering to Best practice
"Scientific Journal of Cahul ""Bogdan Petriceicu Hasdeu"" State University: Economic & Engineering Studies",2587-313X,20-March-2024,Website URL no longer works
Revistă de Ştiinţe Socio-Umane,1857-0119,20-March-2024,Website URL no longer works
Revista Constituição e Garantia de Direitos,1982-310X,20-March-2024,Journal not adhering to Best practice
Práxis Educacional,1809-0249,20-March-2024,Journal not adhering to Best practice
Advanced Qualitative Research,2986-3090,20-March-2024,Journal not adhering to Best practice
Inclusive Society and Sustainability Studies,2807-9663,20-March-2024,Journal not adhering to Best practice
Applied Quantitative Analysis,2808-4934,20-March-2024,Journal not adhering to Best practice
Logistic and Operation Management Research,2830-2680,20-March-2024,Journal not adhering to Best practice
Organization and Human Capital Development,2829-758X,20-March-2024,Journal not adhering to Best practice
"International Journal of Entrepreneurship, Business, and Creative Economy",2775-3085,20-March-2024,Journal not adhering to Best practice
Journal of English as a Foreign Language Teaching and Research,2776-4184,20-March-2024,Journal not adhering to Best practice
International Journal of Entrepreneurship and Sustainability Studies,2807-1778,20-March-2024,Journal not adhering to Best practice
Journal of Governance Risk Management Compliance and Sustainability,2776-9658,20-March-2024,Journal not adhering to Best practice
International Journal of Emerging Issues in Islamic Studies ,2807-2049,20-March-2024,Journal not adhering to Best practice
Tourism and Sustainable Development Review,2722-2152,20-March-2024,Journal not adhering to Best practice
"International Journal of Management, Entrepreneurship, Social Science and Humanities (IJMESH) ",2580-0981,20-March-2024,Journal not adhering to Best practice
International Journal of Emerging Issues in Early Childhood Education ,2685-4074,20-March-2024,Journal not adhering to Best practice
Innovaciones de Negocios,2007-1191,19-March-2024,Journal not adhering to Best practice
Debate Universitario,2314-1530,19-March-2024,Journal not adhering to Best practice
"Media Riset Akuntansi, Auditing & Informasi",2442-9708,19-March-2024,Journal not adhering to Best practice
Empati,2829-1859,19-March-2024,Journal not adhering to Best practice
 Cakrawala: Jurnal Studi Islam ,2550-0880,18-March-2024,Journal not adhering to Best practice
Liberal Arts and Social Sciences International Journal,2664-8148,18-March-2024,Journal not adhering to Best practice
Ufuq-i Dānish,2252-0805,18-March-2024,Ceased publishing
Pamukkale Üniversitesi Eğitim Fakültesi Dergisi,1309-0275,16-March-2024,Journal not adhering to Best practice
Turkish Journal of Kinesiology,2459-0134,16-March-2024,Journal not adhering to Best practice
Journal of Multidisciplinary Modeling and Optimization,2645-923X,16-March-2024,Journal not adhering to Best practice
Journal of Multidisciplinary Modeling and Optimization,1306-7850,16-March-2024,Journal not adhering to Best practice
İşletme Ekonomi ve Yönetim Araştırmaları Dergisi,2618-6195,16-March-2024,Journal not adhering to Best practice
IBJ Clinical Pharmacology,2530-4984,15-March-2024,Ceased publishing
Resource-Efficient Technologies,2405-6537,14-March-2024,Ceased publishing
Türkiye İletişim Araştırmaları Dergisi,2630-6220,14-March-2024,Journal not adhering to Best practice
Erciyes Journal of Education,2602-3512,14-March-2024,Journal not adhering to Best practice
ESTUDIO,1647-7316,13-March-2024,Website URL no longer works
Jurnal Teknik Sipil,2502-5295,13-March-2024,Journal not adhering to Best practice
Jurnal Wasian,2502-5198,12-March-2024,Website URL no longer works
Elementary School Journal PGSD FIP UNIMED,2355-1747,12-March-2024,Journal not adhering to Best practice
Jurnal Islam Nusantara,2579-3756,11-March-2024,Website URL no longer works
Türk Kütüphaneciliği,1300-0039,11-March-2024,Journal not adhering to Best practice
The International Journal of Creative Media Research,2631-6773,11-March-2024,Website URL no longer works
Acta Scientiarum Polonorum. Oeconomia,2450-047X,10-March-2024,Website URL no longer works
Sofia,2317-2339,10-March-2024,Website URL no longer works
Iraqi Journal of Public Health,2521-7267,10-March-2024,Journal not adhering to Best practice
Keguru: Jurnal Ilmu Pendidikan Dasar,2579-9886,9-March-2024,Website URL no longer works
Azarian Journal of Agriculture,2383-4420,9-March-2024,Website URL no longer works
Jurnal Islam Nusantara,2579-3756,9-March-2024,Website URL no longer works
Jurnal Manajemen dan Pemasaran Jasa ,2442-9732,8-March-2024,Journal not adhering to Best practice
Amasya İlahiyat Dergisi,2667-6710,7-March-2024,Journal not adhering to Best practice
S: Journal of the Circle for Lacanian Ideology Critique,1874-9062,7-March-2024,Journal not adhering to Best practice
Cuaderno Juridicio y Politico,2414-4428,7-March-2024,Website URL no longer works
Encuentro,2220-7112,7-March-2024,Website URL no longer works
Bartın Orman Fakültesi Dergisi,1302-0943,7-March-2024,Journal not adhering to Best practice
"The Turkish Online Journal of Design, Art and Communication",2146-5193,7-March-2024,Journal not adhering to Best practice
Cerebral Cortex Communications,2632-7376,6-March-2024,Ceased publishing
Smart Homecare Technology and TeleHealth,2253-1564,5-March-2024,Ceased publishing
Reports in Medical Imaging,1179-1586,5-March-2024,Ceased publishing
Tarih Kültür ve Sanat Araştırmaları Dergisi,2147-0626,5-March-2024,Website URL no longer works
Archives of Clinical and Experimental Medicine,2564-6567,5-March-2024,Ceased publishing
Turkish Journal of Giftedness and Education,2146-3832,5-March-2024,Website URL no longer works
Journal of Chemical Health Risks,2251-6719,5-March-2024,Journal not adhering to Best practice
Kimün. Revista Interdisciplinaria de Formación Docente,2469-066X,4-March-2024,Journal not adhering to Best practice
Coordenadas: Revista de Historia Local y Regional,2362-4752,4-March-2024,Journal not adhering to Best practice
Administory ,2519-1187,4-March-2024,Inactive (has not published in the last calendar year)
ECCOM,2177-5087,1-March-2024,Ceased publishing
Journal of Business Accounting and Finance Perspectives,2603-7475,29-February-2024,Ceased publishing
Nacameh,2007-0373,29-February-2024,Ceased publishing
Revista Eletrônica de Educação do Norte de Mato Grosso ,2448-3192,29-February-2024,Website URL no longer works
Revista Española de Investigaciones Sociológicas,0210-5233,28-February-2024,Website URL no longer works
Žmogus ir Žodis,1392-8600,27-February-2024,Website URL no longer works
"Stato, Chiese e Pluralismo Confessionale",1971-8543,27-February-2024,Journal not adhering to Best practice
Revista Cimexus,2007-9206,27-February-2024,Website URL no longer works
Nature: National Academic Journal of Architecture,2579-4809,27-February-2024,Journal not adhering to Best practice
Pakistan Heart Journal,2227-9199,27-February-2024,Incorrect Website URL
پژوهش‌نامه حقوق اسلامی (پیوسته),2588-6673,27-February-2024,Website URL no longer works
Jurnal Pendidikan Fisika,2301-7651,26-February-2024,Journal not adhering to Best practice
Communicata,2822-3713,24-February-2024,Journal not adhering to Best practice
